date	id_county	county	id_state	state	size	population	density	demography_1	no_cases	cases_m	cases_w	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	no_infected	no_deceased
2020-03-14	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	7	4	0	0	0	2	5	0	0	7	0
2020-03-15	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	3	1	0	0	0	0	3	0	0	3	0
2020-03-16	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	3	1	0	0	0	0	3	0	0	3	0
2020-03-17	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	11	5	0	0	0	2	8	1	0	11	0
2020-03-18	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	5	2	0	0	0	0	4	1	0	5	0
2020-03-19	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	6	5	0	0	0	3	3	0	0	6	0
2020-03-20	1056	LK Pinneberg	1.0	Schleswig-Holstein	664.28	312662.0	470.6780273378697	0.22	9	6	0	0	0	2	6	1	0	9	0
2020-03-09	1057	LK Plön	1.0	Schleswig-Holstein	1083.1800000000003	128842.0	118.9479126276334	0.26	2	2	0	0	0	0	2	0	0	2	0
2020-03-14	1057	LK Plön	1.0	Schleswig-Holstein	1083.1800000000003	128842.0	118.9479126276334	0.26	3	2	0	0	0	0	2	1	0	3	0
2020-03-16	1057	LK Plön	1.0	Schleswig-Holstein	1083.1800000000003	128842.0	118.9479126276334	0.26	2	1	0	0	0	0	1	1	0	2	0
2020-03-17	1057	LK Plön	1.0	Schleswig-Holstein	1083.1800000000003	128842.0	118.9479126276334	0.26	1	0	0	0	0	0	1	0	0	1	0
2020-03-18	1057	LK Plön	1.0	Schleswig-Holstein	1083.1800000000003	128842.0	118.9479126276334	0.26	2	2	0	0	0	0	0	2	0	2	0
2020-03-19	1057	LK Plön	1.0	Schleswig-Holstein	1083.1800000000003	128842.0	118.9479126276334	0.26	1	0	0	0	0	0	1	0	0	1	0
2020-03-20	1057	LK Plön	1.0	Schleswig-Holstein	1083.1800000000003	128842.0	118.9479126276334	0.26	1	1	0	0	0	0	1	0	0	1	0
2020-03-11	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	2	1	0	0	0	0	2	0	0	2	0
2020-03-12	1058	LK Rendsburg-Eckernförde	1.0	Schleswig-Holstein	2189.2599999999993	273022.0	124.7097192658707	0.23	3	1	0	0	0	0	0	3	0	3	0
