	kreis_id	kreis	size	population	bundesland_id	bundesland	factor
205	8316	Emmendingen	679.79	164712	8	Baden-Württemberg	242
206	8317	Ortenaukreis	1860.29	425932	8	Baden-Württemberg	229
207	8325	Rottweil	769.44	138858	8	Baden-Württemberg	180
208	8326	Schwarzwald-Baar-Kreis	1025.34	211207	8	Baden-Württemberg	206
209	8327	Tuttlingen	734.35	139397	8	Baden-Württemberg	190
210	8335	Konstanz	817.97	284015	8	Baden-Württemberg	347
211	8336	Lörrach	806.72	228314	8	Baden-Württemberg	283
212	8337	Waldshut	1131.1	170198	8	Baden-Württemberg	150
213	8415	Reutlingen	1092.46	285754	8	Baden-Württemberg	262
214	8416	Tübingen	519.14	225755	8	Baden-Württemberg	435
215	8417	Zollernalbkreis	917.56	188170	8	Baden-Württemberg	205
216	8421	Ulm, Stadt	118.68	125596	8	Baden-Württemberg	1058
217	8425	Alb-Donau-Kreis	1358.54	194629	8	Baden-Württemberg	143
218	8426	Biberach	1409.49	198265	8	Baden-Württemberg	141
219	8435	Bodenseekreis	664.77	214655	8	Baden-Württemberg	323
220	8436	Ravensburg	1632.09	283264	8	Baden-Württemberg	174
221	8437	Sigmaringen	1204.22	130192	8	Baden-Württemberg	108
222	9161	Ingolstadt, Stadt	133.35	135244	9	Bayern	1014
223	9162	München, Stadt	310.71	1456039	9	Bayern	4686
224	9163	Rosenheim, Stadt	37.22	63080	9	Bayern	1695
225	9171	Altötting	569.29	110338	9	Bayern	194
226	9172	Berchtesgadener Land	839.85	105052	9	Bayern	125
227	9173	Bad Tölz-Wolfratshausen	1110.66	126572	9	Bayern	114
228	9174	Dachau	579.15	152703	9	Bayern	264
229	9175	Ebersberg	549.39	140800	9	Bayern	256
230	9176	Eichstätt	1213.86	131646	9	Bayern	108
231	9177	Erding	870.73	136884	9	Bayern	157
232	9178	Freising	799.85	177997	9	Bayern	223
233	9179	Fürstenfeldbruck	434.83	217831	9	Bayern	501
234	9180	Garmisch-Partenkirchen	1012.21	88155	9	Bayern	87
235	9181	Landsberg am Lech	804.37	119141	9	Bayern	148
236	9182	Miesbach	866.22	99189	9	Bayern	115
237	9183	Mühldorf a.Inn	805.36	114486	9	Bayern	142
238	9184	München	664.27	346433	9	Bayern	522
239	9185	Neuburg-Schrobenhausen	739.72	96164	9	Bayern	130
240	9186	Pfaffenhofen a.d.Ilm	761.05	126244	9	Bayern	166
241	9187	Rosenheim	1439.45	259449	9	Bayern	180
242	9188	Starnberg	487.72	135545	9	Bayern	278
243	9189	Traunstein	1533.74	176290	9	Bayern	115
244	9190	Weilheim-Schongau	966.29	134252	9	Bayern	139
245	9261	Landshut, Stadt	65.83	71193	9	Bayern	1081
246	9262	Passau, Stadt	69.56	51781	9	Bayern	744
247	9263	Straubing, Stadt	67.59	47586	9	Bayern	704
248	9271	Deggendorf	861.15	118741	9	Bayern	138
249	9272	Freyung-Grafenau	983.88	78345	9	Bayern	80
250	9273	Kelheim	1065.13	121119	9	Bayern	114
251	9274	Landshut	1347.56	157239	9	Bayern	117
252	9275	Passau	1530.08	190504	9	Bayern	125
253	9276	Regen	974.79	77489	9	Bayern	79
254	9277	Rottal-Inn	1281.22	120371	9	Bayern	94
255	9278	Straubing-Bogen	1201.64	99838	9	Bayern	83
256	9279	Dingolfing-Landau	877.57	95831	9	Bayern	109
257	9361	Amberg, Stadt	50.13	42248	9	Bayern	843
258	9362	Regensburg, Stadt	80.85	150894	9	Bayern	1866
