id_county	county	size	population	id_state	state	density
1001	Flensburg, Stadt	56.74	88519	1	Schleswig-Holstein	1560.081071554459
1002	Kiel, Stadt	118.65	247943	1	Schleswig-Holstein	2089.7008006742517
1003	Lübeck, Stadt	214.21	216318	1	Schleswig-Holstein	1009.8408104196816
1004	Neumünster, Stadt	71.63	79335	1	Schleswig-Holstein	1107.566662013123
1051	Dithmarschen	1428.1699999999998	133447	1	Schleswig-Holstein	93.43915640294924
1053	Herzogtum Lauenburg	1263.0600000000006	196074	1	Schleswig-Holstein	155.23728088926885
1054	Nordfriesland	2082.9700000000003	165462	1	Schleswig-Holstein	79.43561357100677
1055	Ostholstein	1392.58	200584	1	Schleswig-Holstein	144.03768544715564
1056	Pinneberg	664.28	312662	1	Schleswig-Holstein	470.6780273378696
1057	Plön	1083.1800000000003	128842	1	Schleswig-Holstein	118.94791262763341
