id_county	county	demography_1
09190	Weilheim-Schongau, Landkreis	0.21
09261	Landshut, kreisfreie Stadt	0.21
09262	Passau, kreisfreie Stadt	0.21
09263	Straubing, kreisfreie Stadt	0.21
09271	Deggendorf, Landkreis	0.2
09272	Freyung-Grafenau, Landkreis	0.21
09273	Kelheim, Landkreis	0.18
09274	Landshut, Landkreis	0.18
09275	Passau, Landkreis	0.22
09276	Regen, Landkreis	0.22
09277	Rottal-Inn, Landkreis	0.21
09278	Straubing-Bogen, Landkreis	0.19
09279	Dingolfing-Landau, Landkreis	0.19
09361	Amberg, kreisfreie Stadt	0.23
09362	Regensburg, kreisfreie Stadt	0.17
09363	Weiden in der Oberpfalz, kreisfreie Stadt	0.23
09371	Amberg-Sulzbach, Landkreis	0.21
09372	Cham, Landkreis	0.21
09373	Neumarkt in der Oberpfalz, Landkreis	0.19
09374	Neustadt an der Waldnaab, Landkreis	0.21
09375	Regensburg, Landkreis	0.19
09376	Schwandorf, Landkreis	0.2
09377	Tirschenreuth, Landkreis	0.22
09461	Bamberg, kreisfreie Stadt	0.19
09462	Bayreuth, kreisfreie Stadt	0.22
09463	Coburg, kreisfreie Stadt	0.23
09464	Hof, kreisfreie Stadt	0.24
09471	Bamberg, Landkreis	0.19
09472	Bayreuth, Landkreis	0.22
09473	Coburg, Landkreis	0.23
09474	Forchheim, Landkreis	0.2
09475	Hof, Landkreis	0.26
09476	Kronach, Landkreis	0.24
09477	Kulmbach, Landkreis	0.24
09478	Lichtenfels, Landkreis	0.22
09479	Wunsiedel im Fichtelgebirge, Landkreis	0.26
09561	Ansbach, kreisfreie Stadt	0.21
09562	Erlangen, kreisfreie Stadt	0.18
09563	Fürth, kreisfreie Stadt	0.18
09564	Nürnberg, kreisfreie Stadt	0.2
09565	Schwabach, kreisfreie Stadt	0.22
09571	Ansbach, Landkreis	0.2
09572	Erlangen-Höchstadt, Landkreis	0.2
09573	Fürth, Landkreis	0.23
09574	Nürnberger Land, Landkreis	0.22
09575	Neustadt an der Aisch-Bad Windsheim, Landkreis	0.21
09576	Roth, Landkreis	0.21
09577	Weißenburg-Gunzenhausen, Landkreis	0.22
09661	Aschaffenburg, kreisfreie Stadt	0.21
09662	Schweinfurt, kreisfreie Stadt	0.24
09663	Würzburg, kreisfreie Stadt	0.2
09671	Aschaffenburg, Landkreis	0.21
09672	Bad Kissingen, Landkreis	0.24
09673	Rhön-Grabfeld, Landkreis	0.22
09674	Haßberge, Landkreis	0.2
09675	Kitzingen, Landkreis	0.2
09676	Miltenberg, Landkreis	0.21
09677	Main-Spessart, Landkreis	0.22
09678	Schweinfurt, Landkreis	0.21
09679	Würzburg, Landkreis	0.21
09761	Augsburg, kreisfreie Stadt	0.2
09762	Kaufbeuren, kreisfreie Stadt	0.23
09763	Kempten (Allgäu), kreisfreie Stadt	0.22
09764	Memmingen, kreisfreie Stadt	0.22
09771	Aichach-Friedberg, Landkreis	0.2
09772	Augsburg, Landkreis	0.2
09773	Dillingen an der Donau, Landkreis	0.2
09774	Günzburg, Landkreis	0.19
09775	Neu-Ulm, Landkreis	0.2
09776	Lindau (Bodensee), Landkreis	0.23
09777	Ostallgäu, Landkreis	0.21
09778	Unterallgäu, Landkreis	0.21
09779	Donau-Ries, Landkreis	0.2
09780	Oberallgäu, Landkreis	0.23
10041	Regionalverband Saarbrücken, Landkreis	0.23
10042	Merzig-Wadern, Landkreis	0.22
10043	Neunkirchen, Landkreis	0.24
10044	Saarlouis, Landkreis	0.24
10045	Saarpfalz-Kreis	0.25
10046	Sankt Wendel, Landkreis	0.24
11000	Berlin, kreisfreie Stadt	0.19
12051	Brandenburg an der Havel, kreisfreie Stadt	0.27
12052	Cottbus, kreisfreie Stadt	0.25
12053	Frankfurt (Oder), kreisfreie Stadt	0.25
12054	Potsdam, kreisfreie Stadt	0.2
12060	Barnim, Landkreis	0.23
12061	Dahme-Spreewald, Landkreis	0.24
12062	Elbe-Elster, Landkreis	0.27
12063	Havelland, Landkreis	0.22
12064	Märkisch-Oderland, Landkreis	0.23
12065	Oberhavel, Landkreis	0.22
12066	Oberspreewald-Lausitz, Landkreis	0.28
12067	Oder-Spree, Landkreis	0.26
12068	Ostprignitz-Ruppin, Landkreis	0.25
12069	Potsdam-Mittelmark, Landkreis	0.22
12070	Prignitz, Landkreis	0.27
12071	Spree-Neiße, Landkreis	0.27
12072	Teltow-Fläming, Landkreis	0.22
12073	Uckermark, Landkreis	0.27
13003	Rostock, kreisfreie Stadt	0.24
13004	Schwerin, kreisfreie Stadt	0.25
13071	Mecklenburgische Seenplatte, Landkreis	0.25
13072	Rostock, Landkreis	0.23
13073	Vorpommern-Rügen, Landkreis	0.25
13074	Nordwestmecklenburg, Landkreis	0.23
13075	Vorpommern-Greifswald, Landkreis	0.25
13076	Ludwigslust-Parchim, Landkreis	0.23
14511	Chemnitz, kreisfreie Stadt	0.28
14521	Erzgebirgskreis	0.29
14522	Mittelsachsen, Landkreis	0.28
14523	Vogtlandkreis	0.29
14524	Zwickau, Landkreis	0.29
14612	Dresden, kreisfreie Stadt	0.22
14625	Bautzen, Landkreis	0.27
14626	Görlitz, Landkreis	0.29
14627	Meißen, Landkreis	0.27
14628	Sächsische Schweiz-Osterzgebirge, Landkreis	0.27
14713	Leipzig, kreisfreie Stadt	0.21
14729	Leipzig, Landkreis	0.26
14730	Nordsachsen, Landkreis	0.25
15001	Dessau-Roßlau, kreisfreie Stadt	0.31
15002	Halle (Saale), kreisfreie Stadt	0.24
15003	Magdeburg, kreisfreie Stadt	0.24
15081	Altmarkkreis Salzwedel	0.24
15082	Anhalt-Bitterfeld, Landkreis	0.27
15083	Börde, Landkreis	0.23
15084	Burgenlandkreis	0.27
15085	Harz, Landkreis	0.27
15086	Jerichower Land, Landkreis	0.25
15087	Mansfeld-Südharz, Landkreis	0.29
15088	Saalekreis	0.25
15089	Salzlandkreis	0.27
15090	Stendal, Landkreis	0.25
15091	Wittenberg, Landkreis	0.28
16051	Erfurt, kreisfreie Stadt	0.22
16052	Gera, kreisfreie Stadt	0.28
16053	Jena, kreisfreie Stadt	0.21
16054	Suhl, kreisfreie Stadt	0.31
16055	Weimar, kreisfreie Stadt	0.23
16056	Eisenach, kreisfreie Stadt	0.26
16061	Eichsfeld, Landkreis	0.23
16062	Nordhausen, Landkreis	0.26
16063	Wartburgkreis	0.25
16064	Unstrut-Hainich-Kreis	0.25
16065	Kyffhäuserkreis	0.27
16066	Schmalkalden-Meiningen, Landkreis	0.26
16067	Gotha, Landkreis	0.25
16068	Sömmerda, Landkreis	0.24
16069	Hildburghausen, Landkreis	0.24
16070	Ilm-Kreis	0.25
16071	Weimarer Land, Landkreis	0.23
16072	Sonneberg, Landkreis	0.27
16073	Saalfeld-Rudolstadt, Landkreis	0.28
16074	Saale-Holzland-Kreis	0.25
16075	Saale-Orla-Kreis	0.26
16076	Greiz, Landkreis	0.29
16077	Altenburger Land, Landkreis	0.3
11001	Berlin, kreisfreie Stadt	0.19
11002	Berlin, kreisfreie Stadt	0.19
11003	Berlin, kreisfreie Stadt	0.19
11004	Berlin, kreisfreie Stadt	0.19
11005	Berlin, kreisfreie Stadt	0.19
11006	Berlin, kreisfreie Stadt	0.19
11007	Berlin, kreisfreie Stadt	0.19
11008	Berlin, kreisfreie Stadt	0.19
11009	Berlin, kreisfreie Stadt	0.19
11010	Berlin, kreisfreie Stadt	0.19
11011	Berlin, kreisfreie Stadt	0.19
11012	Berlin, kreisfreie Stadt	0.19
