kreis_id	kreis	size	population	bundesland_id	bundesland
7316000	Neustadt an der Weinstraße, Stadt	117.09	53353	7	Rheinland-Pfalz
7317000	Pirmasens, Stadt	61.36	40632	7	Rheinland-Pfalz
7318000	Speyer, Stadt	42.71	50931	7	Rheinland-Pfalz
7319000	Worms, Stadt	108.73	83081	7	Rheinland-Pfalz
7320000	Zweibrücken, Stadt	70.64	34270	7	Rheinland-Pfalz
7331000	Alzey-Worms	588.07	128519	7	Rheinland-Pfalz
7332000	Bad Dürkheim	594.61	132739	7	Rheinland-Pfalz
7333000	Donnersbergkreis	645.43	75102	7	Rheinland-Pfalz
7334000	Germersheim	463.32	128477	7	Rheinland-Pfalz
7335000	Kaiserslautern	639.98	105649	7	Rheinland-Pfalz
7336000	Kusel	573.58	70764	7	Rheinland-Pfalz
7337000	Südliche Weinstraße	639.97	110622	7	Rheinland-Pfalz
7338000	Rhein-Pfalz-Kreis	304.99	153629	7	Rheinland-Pfalz
7339000	Mainz-Bingen	605.37	209785	7	Rheinland-Pfalz
7340000	Südwestpfalz	953.56	95474	7	Rheinland-Pfalz
8111000	Stuttgart, Stadt	207.33	632743	8	Baden-Württemberg
8115000	Böblingen	617.79	389548	8	Baden-Württemberg
8116000	Esslingen	641.28	532447	8	Baden-Württemberg
8117000	Göppingen	642.33	256345	8	Baden-Württemberg
8118000	Ludwigsburg	686.75	542630	8	Baden-Württemberg
8119000	Rems-Murr-Kreis	858.09	424878	8	Baden-Württemberg
8121000	Heilbronn, Stadt	99.89	125113	8	Baden-Württemberg
8125000	Heilbronn	1099.94	340772	8	Baden-Württemberg
8126000	Hohenlohekreis	776.76	111392	8	Baden-Württemberg
8127000	Schwäbisch Hall	1484.07	194203	8	Baden-Württemberg
8128000	Main-Tauber-Kreis	1304.13	132189	8	Baden-Württemberg
8135000	Heidenheim	627.11	132006	8	Baden-Württemberg
8136000	Ostalbkreis	1511.36	312422	8	Baden-Württemberg
8211000	Baden-Baden, Stadt	140.19	54718	8	Baden-Württemberg
8212000	Karlsruhe, Stadt	173.42	311919	8	Baden-Württemberg
8215000	Karlsruhe	1085.27	442673	8	Baden-Württemberg
8216000	Rastatt	738.42	230216	8	Baden-Württemberg
