author,country,state,city_or_region,country_iso,adm1,adm2,date,border_control,home_office,closure_leisureandbars,shutdown_publictransport,closure_football_stadiums,lockdown,schools_closed,traveller_quarantine,primary_residence,test_limitations,ban_events_over_1000,misc,source,compliance_estimate,compliance_source
Boon,Taiwan,,,TW,,,2020-01-23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Closure of public transport, extend school holidays",https://udn.com/news/story/120940/4304909,,
Boon,Taiwan,,,TW,,,2020-01-23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Ban of tourists from Wuhan and surrounding cities,https://news.ltn.com.tw/news/life/breakingnews/3048726,,
Boon,Taiwan,,,TW,,,2020-01-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Increase of mask supply,https://www.setn.com/News.aspx?NewsID=679475,,
Boon,Taiwan,,,TW,,,2020-02-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Extend school holidays,https://www.cna.com.tw/news/firstnews/202002025003.aspx,,
Boon,Taiwan,,,TW,,,2020-02-05,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ban of chinese tourists,https://news.ltn.com.tw/news/life/breakingnews/3058406,,
Boon,Taiwan,,,TW,,,2020-02-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Limitations on purchase of mask per person,https://www.cna.com.tw/news/firstnews/202002035007.aspx,,
Boon,Taiwan,,,TW,,,2020-03-18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Ban of tourists into Taiwan, quarantine and test control",https://www.ettoday.net/news/20200318/1670182.htm,,
Felix,United Kingdom,,,GB,,,2020-03-13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Felix,United Kingdom,,,GB,,,2020-03-20,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,more restrictions from 03-23 on,https://www.cnbc.com/2020/03/20/coronavirus-uk-pm-announces-lockdown-measures-in-london.html,,
Berit,USA,,,US,,,2020-03-14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,travel ban on Schengen,https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-certain-additional-persons-pose-risk-transmitting-2019-novel-coronavirus/,,
Berit,USA,,,US,,,2020-03-18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,closed border with Canada (for non-essential traffic),https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,,
Berit,USA,,,US,,,2020-03-20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,closed border with Mexico (for non-essential traffic),https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,,
Berit,USA,California,,US,6,,2020-03-20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.theguardian.com/world/2020/mar/19/coronavirus-california-more-than-half-gavin-newsom,,
Berit,USA,,"San Francisco, Santa Clara, San Mateo, Marin, Contra Costa,Alameda.",US,6,6075,2020-03-18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.theguardian.com/world/2020/mar/16/california-coronavirus-shelter-in-place-bay-area,,
Berit,USA,New York,New York City,US,36,36061,2020-03-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,https://www.nytimes.com/2020/03/15/nyregion/coronavirus-nyc-shutdown.html,,
Berit,USA,New York,New York City,US,36,36061,2020-03-20,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not quite clear, if this already equals a lock down, but it's not called shelter-in-place",https://nypost.com/2020/03/20/how-long-will-new-yorks-coronavirus-lockdown-last/,,
Berit,USA,Alabama,,US,1,,2020-03-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"date of announcement was 2020-03-13, so relevant only from 2020-03-16",https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Alaska,,US,2,,2020-03-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"date of announcement was 2020-03-13, so relevant only from 2020-03-16",https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Arizona,,US,4,,2020-03-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"date of announcement was 2020-03-13, so relevant only from 2020-03-16",https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Arkansas,,US,5,,2020-03-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,,
Berit,USA,Colorado,,US,8,,2020-03-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.cpr.org/2020/03/18/polis-closes-all-of-colorados-schools-until-at-least-april-17/,,
Berit,USA,Connecticut,,US,9,,2020-03-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"measure to be put in place at the end of the day 2020-03-16, so effective from 17th",https://www.ctpost.com/news/coronavirus/article/Lamont-orders-all-Connecticut-schools-closed-15133136.php,,
Berit,USA,Delaware,,US,10,,2020-03-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://news.delaware.gov/2020/03/13/governor-carney-directs-two-week-closure-of-delaware-public-schools/,,
Berit,USA,Florida,,US,12,,2020-03-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,not entirely sure I got the date right,http://www.fldoe.org/newsroom/latest-news/florida-department-of-education-announces-additional-guidance-for-the-2019-20-school-year.stml,,
Berit,USA,Georgia,,US,13,,2020-03-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.ajc.com/news/state--regional-govt--politics/kemp-orders-all-public-schools-georgia-closed-through-end-march/Alpzcxpd6xN8f2TGySOyzM/,,
